LABEL	SRATE	SIZE	NGEN	CLADE_SIZE	HEIGHT_NGEN	HEIGHT_EDGE	DEPTH_NGEN	DEPTH_EDGE	TOTAL_NGEN
Psophia_crepitans	0.066396	207311.60824810292	5207900.999999999	1	5207900.999999999	1	9299553.999999998	11	5207900.999999999
Aramus_guarauna	0.030796	441402.86101853027	2755714.9999999995	1	2755714.9999999995	1	9299553.999999998	12	2755714.9999999995
Balearica_regulorum	0.017191	186715.44363831042	1831247.9999999998	1	1831247.9999999998	1	9299553.999999998	13	1831247.9999999998
Grus_americana	0.014437	186715.44363831042	1831247.9999999998	1	1831247.9999999998	1	9299553.999999998	13	1831247.9999999998
N130	0.007195	186715.44363831042	924466.9999999998	2	2755714.9999999995	2	7468305.999999999	12	4586962.999999999
N131	0.012553	441402.86101853027	2452185.9999999995	3	5207900.999999999	3	6543838.999999999	11	9794863.999999998
N132	0.0039	207311.60824810292	457887.99999999994	4	5665788.999999999	4	4091652.9999999995	10	15460652.999999996
N191	0.000961	905617.8061564502	16368.999999999998	36	6465509	11	2850413.9999999995	8	109791876
Burhinus_bistriatus	0.037921	196981.87013161203	4457612	1	4457612	1	9299554	12	4457612
Chionis_minor	0.010537	409379.35102843447	1330902.9999999998	1	1330902.9999999998	1	9299553.999999998	13	1330902.9999999998
Pluvianellus_socialis	0.012593	409379.35102843447	1330902.9999999998	1	1330902.9999999998	1	9299553.999999998	13	1330902.9999999998
N137	0.032486	409379.35102843447	3126708.9999999995	2	4457611.999999999	2	7968650.999999998	12	5788514.999999999
N138	0.006443	196981.87013161203	666166.9999999999	3	5123779	3	4841941.999999999	11	10912294
Charadrius_alexandrinus	0.022059	209273.73253777303	2385628	1	2385628	1	9299554	13	2385628
Charadrius_vociferus	0.028846	209273.73253777303	2385628	1	2385628	1	9299554	13	2385628
N141	0.007958	209273.73253777303	848191.9999999999	2	3233820	2	6913925.999999999	12	5619448
Himantopus_himantopus	0.018855	241529.31848836847	2006833.9999999995	1	2006833.9999999995	1	9299553.999999998	13	2006833.9999999995
Ibidorhyncha_struthersii	0.024933	241529.31848836847	2006833.9999999995	1	2006833.9999999995	1	9299553.999999998	13	2006833.9999999995
N144	0.006579	241529.31848836847	1226985.9999999998	2	3233819.999999999	2	7292719.999999999	12	5240653.999999998
N145	0.009166	324846.1528559866	1889958.9999999998	4	5123779	3	6065733.999999999	11	12750060.999999998
N192	0.000827	9633474.761638643	58710.99999999999	37	6524220	12	2834044.9999999995	7	116316096
Limosa_lapponica	0.023362	267771.52940895496	2746161.9999999995	1	2746161.9999999995	1	9299553.999999998	13	2746161.9999999995
Arenaria_interpres	0.021151	182736.1471590894	1819584.9999999998	1	1819584.9999999998	1	9299553.999999998	14	1819584.9999999998
Calidris_pugnax	0.024532	182736.1471590894	1819584.9999999998	1	1819584.9999999998	1	9299553.999999998	14	1819584.9999999998
N150	0.001869	182736.1471590894	926576.9999999999	2	2746161.9999999995	2	7479968.999999999	13	4565746.999999999
N151	0.003975	267771.52940895496	1381401.9999999998	3	4127563.999999999	3	6553391.999999999	12	8693310.999999998
Pedionomus_torquatus	0.048516	174837.7715	2497694.9999999995	1	2497694.9999999995	1	9299553.999999998	14	2497694.9999999995
Thinocorus_orbignyianus	0.045666	174837.7715	2497694.9999999995	1	2497694.9999999995	1	9299553.999999998	14	2497694.9999999995
N154	0.011744	174837.7715	901457	2	3399151.9999999995	2	6801858.999999999	13	5896846.999999999
Jacana_jacana	0.056964	133144.8386908738	2864037.9999999995	1	2864037.9999999995	1	9299553.999999998	14	2864037.9999999995
Nycticryphes_semicollaris	0.028383	171455.4140951372	1858132.9999999998	1	1858132.9999999998	1	9299553.999999998	15	1858132.9999999998
Rostratula_benghalensis	0.037064	171455.4140951372	1858132.9999999998	1	1858132.9999999998	1	9299553.999999998	15	1858132.9999999998
N158	0.006306	171455.4140951372	1005904.9999999998	2	2864037.9999999995	2	7441420.999999999	14	4722170.999999999
N159	0.006839	133144.8386908738	535113.9999999999	3	3399151.9999999995	3	6435515.999999999	13	8121322.999999998
